context,question,gold_label,gold_label_con_rationale,gold_label_ratings,feedback_gold_label,distractor,distractor_con_rationale,distractor_ratings,feedback_distractor,gold_label_stats,distractor_stats,gold_label_no_rationale_ratings,gold_label_no_rationale_stats,distractor_no_rationale_ratings,distractor_no_rationale_stats
Kai was finally on vacation and went to the beach. Kai felt relaxed laying in the sun.,What does Kai need to do before this?,take off work,"The choice ""take off work"" is implausible because Kai is already on vacation at the beach and feeling relaxed, indicating any necessary work arrangements were made prior to this moment. Therefore, taking off work is a step that has already occurred, not one that Kai needs to do before enjoying the beach.","[{'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '4 - Likely'}]",[],get something to eat,"Eating is not a prerequisite activity for going to the beach or laying in the sun, as one can engage in relaxation without first consuming food. Additionally, the context does not indicate any hunger or necessity for food prior to enjoying the vacation.","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]","[{'feedback': ""It's possible, Kai could get food before going to the beach. ""}]","{'mean': 2.4, 'variance': 1.8, 'std_dev': 1.3416407864998738, 'median': 3}","{'mean': 1.8, 'variance': 0.2, 'std_dev': 0.4472135954999579, 'median': 2}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 5, 'variance': 0, 'std_dev': 0.0, 'median': 5}","[{'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}]","{'mean': 3, 'variance': 1, 'std_dev': 1.0, 'median': 3}"
Sasha worked as a nurse and often stepped in and protected patients rights.,What will happen to the patients?,show Sasha their appreciation with cards,"This choice is implausible because while patients may appreciate Sasha's advocacy verbally or emotionally, the act of giving cards is an unlikely form of response due to the constraints and priorities typical within a healthcare environment. Patients often face more immediate health concerns and might not be in a position to organize or create cards.","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]","[{'feedback': 'implausible is not impossible. whoever is above me, writing these explanations, is a bit of a Donny Downer, eh? plus, self-contradictory: ""might not be"" does not fit with ""implausible,"" for sure'}]",get sicker due to poor conditions,"Given that Sasha actively works to protect patient rights, it is implausible that the patients would get sicker due to poor conditions, as her interventions would aim to improve or maintain the quality of care and conditions for the patients.","[{'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]","[{'feedback': 'Highly impossible given the work Sasha has been doing'}, {'feedback': 'It is impossible for patients to get sicker due to poor conditions when all Sasha has done is to protect patient rights.'}]","{'mean': 2.2, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 2}","{'mean': 1.4, 'variance': 0.8, 'std_dev': 0.8944271909999159, 'median': 1}","[{'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}]","{'mean': 3.8, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 4}","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]","{'mean': 1.4, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 1}"
riley was a distrustful person so he regarded jesse with suspicious eyes.,What will happen to Jesse?,he will question riley,"It is implausible that Jesse will question Riley because if Jesse is under suspicion, he might avoid questioning Riley to prevent increasing Riley's distrust or drawing more attention to himself. Instead, Jesse would likely try to appear non-threatening and compliant to ease Riley's suspicion.","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}]","[{'feedback': ""i'm supposed to be taking into consideration, the underlined explanation above me.. ..but, i'm not sure how i'm supposed to do that? also, i kinda specifically *disagree* with the AI's rationale — i believe undertaking this course of action would only lead to riley's not [bumping with] jesse even further!""}]",he will ignore riley,"The choice is implausible because if Jesse is aware of Riley's suspicion, he is unlikely to simply ignore him; instead, he might try to address the distrust or clarify any misunderstandings to ease the tension between them. Ignoring Riley's suspicion could further exacerbate the situation, making it less likely that Jesse would choose this course of action.","[{'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}]",[],"{'mean': 2.6, 'variance': 0.7999999999999999, 'std_dev': 0.8944271909999159, 'median': 2}","{'mean': 1.8, 'variance': 0.7000000000000001, 'std_dev': 0.8366600265340756, 'median': 2}","[{'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}]","{'mean': 3.8, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 4}","[{'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}]","{'mean': 3.2, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 3}"
Quinn colored her hair a light ghosted grey color.,How would Quinn feel afterwards?,artistic,"The choice ""artistic"" is implausible because hair color change typically affects one's personal appearance rather than artistic expression, and Quinn colored her hair grey, which is not inherently expressive of artistic sentiment. Her color choice is more likely linked to fashion trends than a statement of artistry.","[{'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]","[{'feedback': ""This is a narrow explanation.  It's like saying that your car doesn't run better when it is clean, which everyone knows is true.""}]",unwanted,"Feeling ""unwanted"" is implausible because changing one's hair color is typically a personal choice meant for self-expression and experimentation rather than an action that directly affects one's sense of social acceptance or rejection. Quinn's hair color decision is more likely to impact her personal satisfaction or confidence than her feeling of being ""unwanted.""","[{'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]","[{'feedback': ""She could feel that way, but I don't think it's likely she would.""}]","{'mean': 2.4, 'variance': 1.3, 'std_dev': 1.140175425099138, 'median': 2}","{'mean': 2, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 2}","[{'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}]","{'mean': 3.4, 'variance': 0.7999999999999999, 'std_dev': 0.8944271909999159, 'median': 4}","[{'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]","{'mean': 1.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 2}"
Jordan was going for a walk and brought the kids.,What does Jordan need to do before this?,get the kids ready,"The choice ""get the kids ready"" is implausible because Jordan might prefer spontaneity and could decide to bring the kids at the last minute without any preparation, embracing whatever state the kids are currently in for a more adventurous and unpredictable outing.","[{'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}]","[{'feedback': 'this depends on the type of person Jordan is, but anyone wouldnt want to bring kids along if they arent ready '}, {'feedback': 'once again: AI is almost dead wrong. almost. by most metrics, people can\'t *just* drop what they\'re doing, and go do something else. especially with ""kids,"" plural? yeah. some coördination (and consideration) is required!'}]",wanted to get some fresh air,"The choice ""wanted to get some fresh air"" describes a motive rather than an action Jordan needs to do before going for a walk. ""Wanting"" is a mental state and does not involve any preparatory steps required before taking the kids for a walk.","[{'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}]",[],"{'mean': 3.6, 'variance': 1.3, 'std_dev': 1.140175425099138, 'median': 4}","{'mean': 2, 'variance': 1, 'std_dev': 1.0, 'median': 2}","[{'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4.8, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 5}","[{'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '1 - Impossible'}]","{'mean': 3, 'variance': 1.5, 'std_dev': 1.224744871391589, 'median': 3}"
Kendall took Skylar into acount when making plans for the day.,How would Skylar feel as a result?,Glad they were thought about,"The choice is implausible because Skylar might have preferred to be surprised rather than having their preferences considered, as they enjoy spontaneity and unpredictability. Additionally, Skylar may have wanted a day without any plans, making the consideration unnecessary and possibly unwanted.","[{'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}]",[{'feedback': 'Irrelevant answer'}],as generous,"The feeling of generosity typically arises from the act of giving or sharing, not from being considered in someone's plans. Skylar would more likely feel included or valued, rather than generous, in this situation.","[{'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}]",[{'feedback': 'The definition of generous does not meet the original answer high lighted'}],"{'mean': 3.6, 'variance': 1.8, 'std_dev': 1.3416407864998738, 'median': 3}","{'mean': 1.8, 'variance': 1.7000000000000002, 'std_dev': 1.3038404810405297, 'median': 1}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]","{'mean': 4.8, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 5}","[{'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}]","{'mean': 3.8, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 4}"
Taylor helped Ash move in to their new house.,What does Taylor need to do before this?,be able to help,"The choice ""be able to help"" is implausible because it assumes Taylor was not already capable or willing to assist, despite the context suggesting that Taylor successfully helped Ash move in, indicating they were already prepared and able to help beforehand.","[{'rating': '1 - Impossible'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}]",[{'feedback': 'Time travel is hard.  '}],go get food,"""Go get food"" is implausible because it is not directly related to the process of helping someone move, which typically involves packing, transporting and unpacking items, rather than preparing or obtaining meals. Additionally, acquiring food could be done at any time, including after the move, and is not a prerequisite to moving activities.","[{'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]","[{'feedback': 'It is possible, perhaps Taylor wanted to get an early house warming gift that consisted of food. '}]","{'mean': 2.4, 'variance': 2.8, 'std_dev': 1.6733200530681511, 'median': 2}","{'mean': 2, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 2}","[{'rating': '2 - Technically Possible'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}]","{'mean': 3.8, 'variance': 1.7, 'std_dev': 1.3038404810405297, 'median': 4}","[{'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}]","{'mean': 3, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 3}"
Cameron stopped the fight before people got hurt.,What will Cameron want to do next?,send people home,"Sending people home may not be Cameron's priority immediately after stopping a fight because his main concern would likely be ensuring everyone is calm and de-escalated before considering dispersal. Additionally, sending people home abruptly might neglect any necessary conflict resolution or discussion that could prevent future altercations.","[{'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}]",[],The others will cheer Cameron,"The choice is implausible because Cameron stopping the fight doesn't necessarily guarantee that others will cheer for him, as their reactions could range from disappointment if they supported the fight to anger or hostility if they were emotionally invested in it. Furthermore, the focus of the question is on Cameron's desires, not on the reactions of others.","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}]",[],"{'mean': 2.8, 'variance': 1.2, 'std_dev': 1.0954451150103321, 'median': 3}","{'mean': 2, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 2}","[{'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}]","{'mean': 3.4, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 3}","[{'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}]","{'mean': 2.6, 'variance': 1.3, 'std_dev': 1.140175425099138, 'median': 3}"
Carson was at a friend's house playing video games to get away from his arguing parents.,What does Carson need to do before this?,run over to his friends house,"Running over to his friend's house would be impractical and potentially unsafe, as it implies he would need to rush immediately without considering his personal safety or properly communicating with his friend. Additionally, arriving suddenly and breathless might not set the right tone for a relaxed gaming session intended to escape stress.","[{'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}]","[{'feedback': ""It is possible for Carson to rush to his friend's house as the only thing he would think of that moment is to escape it.""}]",try a different game,"Trying a different game is an implausible answer because it does not directly address the issue of escaping the tension from his arguing parents, nor is it a necessary step before going to his friend's house. Changing games doesn't contribute to his goal of finding a peaceful environment away from home.","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]",[],"{'mean': 3.4, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 3}","{'mean': 2, 'variance': 1.5, 'std_dev': 1.224744871391589, 'median': 2}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '1 - Impossible'}]","{'mean': 4, 'variance': 3, 'std_dev': 1.7320508075688772, 'median': 5}","[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '4 - Likely'}]","{'mean': 2, 'variance': 1.5, 'std_dev': 1.224744871391589, 'median': 2}"
"Carson turned the music up. His friend asked him to turn it down and Carson asked ""turn down for what?"" and turned it up louder.",What did Carson do?,listened to very loud music,"The choice ""listened to very loud music"" is implausible because Carson's act of turning the music up further suggests he was focused on increasing the volume to potentially annoy or challenge his friend, rather than just quietly listening to it.","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}]",[],plug in his phone,"Plugging in his phone is implausible as an answer because the context focuses on the volume of the music being adjusted, and connecting a phone does not inherently impact volume levels. Carson's behavior was about defying his friend's request by increasing the music's volume, not merely plugging in a device.","[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}]",[],"{'mean': 2, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 2}","{'mean': 1.8, 'variance': 0.7000000000000001, 'std_dev': 0.8366600265340756, 'median': 2}","[{'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '5 - Very Likely'}]","{'mean': 4.2, 'variance': 1.7, 'std_dev': 1.3038404810405297, 'median': 5}","[{'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}]","{'mean': 1.8, 'variance': 0.7000000000000001, 'std_dev': 0.8366600265340756, 'median': 2}"
Remy challenged them to a game of racquetball at the local YMCA gym.,Why did Remy do this?,was bored and decided to gather some people for a good game of racquetball,"The choice ""was bored and decided to gather some people for a good game of racquetball"" is implausible because organized sports like racquetball typically require scheduling and booking court time in advance, and it's unlikely Remy could spontaneously gather players and secure a location like the YMCA without prior planning.","[{'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]","[{'feedback': ""Why would someone want to play Racquetball?  I think being bored is one answer.  It could be Remy is competitive, and that 'them' was a good choice of opponent.""}]",win the game,"The choice ""win the game"" is implausible because challenging someone to a game does not inherently guarantee victory; Remy could have alternative motives such as practicing skills, enjoying physical activity, or simply socializing with others. Moreover, assuming the sole reason is to win neglects any consideration of Remy's actual abilities or the potential for equally skilled opponents.","[{'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}]",[],"{'mean': 2.2, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 2}","{'mean': 2.4, 'variance': 1.3, 'std_dev': 1.140175425099138, 'median': 2}","[{'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '1 - Impossible'}, {'rating': '4 - Likely'}]","{'mean': 3.6, 'variance': 2.3, 'std_dev': 1.51657508881031, 'median': 4}","[{'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}]","{'mean': 3.4, 'variance': 1.3, 'std_dev': 1.140175425099138, 'median': 3}"
Riley layered down their arms with a blanket to keep warm.,What does Riley need to do before this?,get a blanket from the closet,"It is implausible that Riley needs to get a blanket from the closet because the sentence implies that the blanket is already in their possession, suggesting that any necessary retrieval must have already occurred. Additionally, there is no indication that Riley is not near a blanket or lacks access to one already placed conveniently nearby.","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}]","[{'feedback': 'i fully agree with this one.'}, {'feedback': 'ah. this must be AI. this must be AI, because a (normal) human —especially, one who would be recruited for a University-level Project— would have noted, the follow•up query query clearly says, ""before."" now, whether riley had obtained this blanket from the closet, or from off the bed, or from somewhere in the living room, isn\'t necessarily ""material."" the only reason i\'m rating this ""2"" is, we can\'t know where riley got their blanket from.'}]",turn on the air conditioner,"Turning on the air conditioner would not be a logical action before layering down with a blanket to keep warm, as an air conditioner typically cools rather than warms, making the need for a blanket redundant. Riley is more likely to be in a situation requiring warmth, which contradicts the function of an air conditioner.","[{'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]","[{'feedback': 'because the air conditioner is not needed in this instance'}, {'feedback': 'All what Riley needs is to keep warm and an Air Conditioner only cools which is contradictory and not plausible.'}]","{'mean': 1.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 2}","{'mean': 1, 'variance': 0, 'std_dev': 0.0, 'median': 1}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4.8, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 5}","[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}]","{'mean': 2.2, 'variance': 1.2, 'std_dev': 1.0954451150103321, 'median': 2}"
Quinn showed it off to Casey's friends in the birthday party.,What will happen to Casey?,be called a show off at the birthday party,"This choice is implausible because it was Quinn, not Casey, who showed something off at the birthday party, making it unlikely for Casey to be labeled a show-off for another person's actions. Casey didn't take any action that would warrant such a label.","[{'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]",[{'feedback': 'we agree!'}],like a bragger at the party,"The choice ""like a bragger at the party"" is implausible because Casey's friends were likely impressed by Quinn's actions, so they might view Quinn as the bragger instead, leaving Casey free from that perception. Casey merely being the host does not imply that they will be seen as bragging due to someone else's actions.","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}]","[{'feedback': ""It is technically possible since Casey's friends saw Quinn at Casey's party""}]","{'mean': 1.4, 'variance': 0.8, 'std_dev': 0.8944271909999159, 'median': 1}","{'mean': 1.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 2}","[{'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}]","{'mean': 2.6, 'variance': 1.3, 'std_dev': 1.140175425099138, 'median': 3}","[{'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}]","{'mean': 2, 'variance': 1, 'std_dev': 1.0, 'median': 2}"
Kai went to the movies and saw the new Lee movie.,What will happen to Kai?,enjoy the movie she went to see,"This choice is implausible because there is no information provided about Kai's preferences or past experiences with Lee movies, so assuming she will enjoy it has no basis. Moreover, the movie could have been poorly reviewed or not aligned with her taste, leading to a different experience.","[{'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}]","[{'feedback': ""she wouldn't have gone to see the movie if she was unlikely to like it""}]",win an Oscar,"It is implausible for Kai to win an Oscar simply by watching a movie, as Oscars are awarded to individuals directly involved in the production, acting, or technical aspects of films, not to audience members.","[{'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}]",[{'feedback': 'Kai could be a well-regarded actor.'}],"{'mean': 3, 'variance': 2, 'std_dev': 1.4142135623730951, 'median': 3}","{'mean': 1.2, 'variance': 0.2, 'std_dev': 0.4472135954999579, 'median': 1}","[{'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}]","{'mean': 3.6, 'variance': 0.8, 'std_dev': 0.8944271909999159, 'median': 4}","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]","{'mean': 1.8, 'variance': 0.7000000000000001, 'std_dev': 0.8366600265340756, 'median': 2}"
Jesse showed Sydney's friends how to bake a cake but it was left in the oven too long and burned.,What will Jesse want to do next?,Bake a new cake,"While baking a new cake seems like a logical solution to remedy the situation, it is implausible because Jesse might not have enough ingredients left to make another cake immediately. Additionally, after the disappointment and time loss from the first attempt, Jesse might prefer to take a break rather than start over right away.","[{'rating': '1 - Impossible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}]",[{'feedback': 'Jesse is a baller and will dive right back in.'}],Give the cake to friends,"It is implausible that Jesse would want to give the burned cake to friends, as it is typically undesirable and unappetizing, and may reflect poorly on Jesse's baking skills. Offering a burned cake could potentially offend or upset the friends rather than be seen as a generous gesture.","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}]","[{'feedback': ""Perhaps it was Jesse's first time baking a cake and wanted to show something for their effort.""}]","{'mean': 3, 'variance': 2, 'std_dev': 1.4142135623730951, 'median': 4}","{'mean': 2, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 2}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4.8, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 5}","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]","{'mean': 2, 'variance': 0, 'std_dev': 0.0, 'median': 2}"
Quinn got a new job in a different town so they moved to a new house.,What will Quinn want to do next?,unpack his things,"Unpacking his things seems implausible because Quinn might prioritize exploring the new town or familiarize themselves with local amenities first before settling their possessions. Additionally, Quinn may want to spend time contacting family and friends to update them about the move rather than immediately diving into the task of unpacking.","[{'rating': '5 - Very Likely'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}]","[{'feedback': 'When I moved recently, I only really unpacked the bare minimum; I had some changes of clothes, a place to sleep, etc.  I think it unlikely for Quinn and his partner to unpack immediately.'}]",reload his things,"Reloading his things would be counterproductive and impractical because Quinn has just moved into a new house, suggesting he's already unloaded his belongings and should focus on settling in rather than packing again.","[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}]",[],"{'mean': 3, 'variance': 2.5, 'std_dev': 1.5811388300841898, 'median': 3}","{'mean': 2, 'variance': 1.5, 'std_dev': 1.224744871391589, 'median': 2}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 5, 'variance': 0, 'std_dev': 0.0, 'median': 5}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}]","{'mean': 4.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 5}"
